benchmark,config,total_time,result,status
queries-ASN1.Base-1.smt2,wopass-1010,1.51,unsat,ok
queries-ASN1.Base-1.smt2,wopass-1111,1.58,unsat,ok
queries-ASN1.Base-1.smt2,wopass-2222,1.49,unsat,ok
queries-ASN1.Base-1.smt2,wopass-3333,1.52,unsat,ok
queries-ASN1.Base-1.smt2,wopass-4444,1.55,unsat,ok
queries-ASN1.Base-1.smt2,wopass-5555,1.48,unsat,ok
queries-ASN1.Base-1.smt2,wopass-6666,1.58,unsat,ok
queries-ASN1.Base-1.smt2,wopass-7777,1.49,unsat,ok
queries-ASN1.Base-1.smt2,wopass-8888,1.49,unsat,ok
queries-ASN1.Base-1.smt2,wopass-9999,1.49,unsat,ok
queries-ASN1.Base-10.smt2,wopass-1010,1.57,unsat,ok
queries-ASN1.Base-10.smt2,wopass-1111,1.52,unsat,ok
queries-ASN1.Base-10.smt2,wopass-2222,1.54,unsat,ok
queries-ASN1.Base-10.smt2,wopass-3333,1.5,unsat,ok
queries-ASN1.Base-10.smt2,wopass-4444,1.64,unsat,ok
queries-ASN1.Base-10.smt2,wopass-5555,1.62,unsat,ok
queries-ASN1.Base-10.smt2,wopass-6666,1.64,unsat,ok
queries-ASN1.Base-10.smt2,wopass-7777,1.54,unsat,ok
queries-ASN1.Base-10.smt2,wopass-8888,1.68,unsat,ok
queries-ASN1.Base-10.smt2,wopass-9999,1.51,unsat,ok
queries-ASN1.Base-11.smt2,wopass-1010,1.71,unsat,ok
queries-ASN1.Base-11.smt2,wopass-1111,1.54,unsat,ok
queries-ASN1.Base-11.smt2,wopass-2222,1.7,unsat,ok
queries-ASN1.Base-11.smt2,wopass-3333,1.68,unsat,ok
queries-ASN1.Base-11.smt2,wopass-4444,1.55,unsat,ok
queries-ASN1.Base-11.smt2,wopass-5555,1.64,unsat,ok
queries-ASN1.Base-11.smt2,wopass-6666,1.66,unsat,ok
queries-ASN1.Base-11.smt2,wopass-7777,1.54,unsat,ok
queries-ASN1.Base-11.smt2,wopass-8888,1.69,unsat,ok
queries-ASN1.Base-11.smt2,wopass-9999,1.54,unsat,ok
queries-ASN1.Base-12.smt2,wopass-1010,1.57,unsat,ok
queries-ASN1.Base-12.smt2,wopass-1111,1.54,unsat,ok
queries-ASN1.Base-12.smt2,wopass-2222,1.51,unsat,ok
queries-ASN1.Base-12.smt2,wopass-3333,1.61,unsat,ok
queries-ASN1.Base-12.smt2,wopass-4444,1.68,unsat,ok
queries-ASN1.Base-12.smt2,wopass-5555,1.63,unsat,ok
queries-ASN1.Base-12.smt2,wopass-6666,1.56,unsat,ok
queries-ASN1.Base-12.smt2,wopass-7777,1.61,unsat,ok
queries-ASN1.Base-12.smt2,wopass-8888,1.58,unsat,ok
queries-ASN1.Base-12.smt2,wopass-9999,1.51,unsat,ok
queries-ASN1.Base-13.smt2,wopass-1010,1.65,unsat,ok
queries-ASN1.Base-13.smt2,wopass-1111,1.66,unsat,ok
queries-ASN1.Base-13.smt2,wopass-2222,1.6,unsat,ok
queries-ASN1.Base-13.smt2,wopass-3333,1.52,unsat,ok
queries-ASN1.Base-13.smt2,wopass-4444,1.63,unsat,ok
queries-ASN1.Base-13.smt2,wopass-5555,1.52,unsat,ok
queries-ASN1.Base-13.smt2,wopass-6666,1.51,unsat,ok
queries-ASN1.Base-13.smt2,wopass-7777,1.52,unsat,ok
queries-ASN1.Base-13.smt2,wopass-8888,1.52,unsat,ok
queries-ASN1.Base-13.smt2,wopass-9999,1.5,unsat,ok
queries-ASN1.Base-14.smt2,wopass-1010,1.52,unsat,ok
queries-ASN1.Base-14.smt2,wopass-1111,1.71,unsat,ok
queries-ASN1.Base-14.smt2,wopass-2222,1.51,unsat,ok
queries-ASN1.Base-14.smt2,wopass-3333,1.54,unsat,ok
queries-ASN1.Base-14.smt2,wopass-4444,1.67,unsat,ok
queries-ASN1.Base-14.smt2,wopass-5555,1.53,unsat,ok
queries-ASN1.Base-14.smt2,wopass-6666,1.64,unsat,ok
queries-ASN1.Base-14.smt2,wopass-7777,1.64,unsat,ok
queries-ASN1.Base-14.smt2,wopass-8888,1.62,unsat,ok
queries-ASN1.Base-14.smt2,wopass-9999,1.58,unsat,ok
queries-ASN1.Base-15.smt2,wopass-1010,1.71,unknown,ok
queries-ASN1.Base-15.smt2,wopass-1111,1.63,unknown,ok
queries-ASN1.Base-15.smt2,wopass-2222,1.8,unknown,ok
queries-ASN1.Base-15.smt2,wopass-3333,1.71,unknown,ok
queries-ASN1.Base-15.smt2,wopass-4444,1.79,unknown,ok
queries-ASN1.Base-15.smt2,wopass-5555,1.63,unknown,ok
queries-ASN1.Base-15.smt2,wopass-6666,1.63,unknown,ok
queries-ASN1.Base-15.smt2,wopass-7777,1.77,unknown,ok
queries-ASN1.Base-15.smt2,wopass-8888,1.62,unknown,ok
queries-ASN1.Base-15.smt2,wopass-9999,1.7,unknown,ok
queries-ASN1.Base-16.smt2,wopass-1010,1.64,unknown,ok
queries-ASN1.Base-16.smt2,wopass-1111,1.86,unknown,ok
queries-ASN1.Base-16.smt2,wopass-2222,1.75,unknown,ok
queries-ASN1.Base-16.smt2,wopass-3333,1.74,unknown,ok
queries-ASN1.Base-16.smt2,wopass-4444,1.63,unknown,ok
queries-ASN1.Base-16.smt2,wopass-5555,1.67,unknown,ok
queries-ASN1.Base-16.smt2,wopass-6666,1.65,unknown,ok
queries-ASN1.Base-16.smt2,wopass-7777,1.69,unknown,ok
queries-ASN1.Base-16.smt2,wopass-8888,1.83,unknown,ok
queries-ASN1.Base-16.smt2,wopass-9999,1.66,unknown,ok
queries-ASN1.Base-17.smt2,wopass-1010,1.8,unsat,ok
queries-ASN1.Base-17.smt2,wopass-1111,1.79,unsat,ok
queries-ASN1.Base-17.smt2,wopass-2222,1.8,unsat,ok
queries-ASN1.Base-17.smt2,wopass-3333,1.76,unsat,ok
queries-ASN1.Base-17.smt2,wopass-4444,1.77,unsat,ok
queries-ASN1.Base-17.smt2,wopass-5555,1.84,unsat,ok
queries-ASN1.Base-17.smt2,wopass-6666,1.71,unsat,ok
queries-ASN1.Base-17.smt2,wopass-7777,1.74,unsat,ok
queries-ASN1.Base-17.smt2,wopass-8888,1.84,unsat,ok
queries-ASN1.Base-17.smt2,wopass-9999,1.8,unsat,ok
queries-ASN1.Base-18.smt2,wopass-1010,1.5,unsat,ok
queries-ASN1.Base-18.smt2,wopass-1111,1.62,unsat,ok
queries-ASN1.Base-18.smt2,wopass-2222,1.55,unsat,ok
queries-ASN1.Base-18.smt2,wopass-3333,1.56,unsat,ok
queries-ASN1.Base-18.smt2,wopass-4444,1.57,unsat,ok
queries-ASN1.Base-18.smt2,wopass-5555,1.51,unsat,ok
queries-ASN1.Base-18.smt2,wopass-6666,1.56,unsat,ok
queries-ASN1.Base-18.smt2,wopass-7777,1.59,unsat,ok
queries-ASN1.Base-18.smt2,wopass-8888,1.52,unsat,ok
queries-ASN1.Base-18.smt2,wopass-9999,1.52,unsat,ok
queries-ASN1.Base-19.smt2,wopass-1010,1.61,unsat,ok
queries-ASN1.Base-19.smt2,wopass-1111,,unknown,to
queries-ASN1.Base-19.smt2,wopass-2222,1.6,unsat,ok
queries-ASN1.Base-19.smt2,wopass-3333,1.7,unsat,ok
queries-ASN1.Base-19.smt2,wopass-4444,1.59,unsat,ok
queries-ASN1.Base-19.smt2,wopass-5555,1.59,unsat,ok
queries-ASN1.Base-19.smt2,wopass-6666,1.53,unsat,ok
queries-ASN1.Base-19.smt2,wopass-7777,1.57,unsat,ok
queries-ASN1.Base-19.smt2,wopass-8888,1.56,unsat,ok
queries-ASN1.Base-19.smt2,wopass-9999,1.52,unsat,ok
queries-ASN1.Base-2.smt2,wopass-1010,1.5,unsat,ok
queries-ASN1.Base-2.smt2,wopass-1111,1.57,unsat,ok
queries-ASN1.Base-2.smt2,wopass-2222,1.54,unsat,ok
queries-ASN1.Base-2.smt2,wopass-3333,1.6,unsat,ok
queries-ASN1.Base-2.smt2,wopass-4444,1.54,unsat,ok
queries-ASN1.Base-2.smt2,wopass-5555,1.57,unsat,ok
queries-ASN1.Base-2.smt2,wopass-6666,1.5,unsat,ok
queries-ASN1.Base-2.smt2,wopass-7777,1.49,unsat,ok
queries-ASN1.Base-2.smt2,wopass-8888,1.56,unsat,ok
queries-ASN1.Base-2.smt2,wopass-9999,1.59,unsat,ok
queries-ASN1.Base-20.smt2,wopass-1010,1.52,unsat,ok
queries-ASN1.Base-20.smt2,wopass-1111,1.71,unsat,ok
queries-ASN1.Base-20.smt2,wopass-2222,1.62,unsat,ok
queries-ASN1.Base-20.smt2,wopass-3333,1.71,unsat,ok
queries-ASN1.Base-20.smt2,wopass-4444,1.56,unsat,ok
queries-ASN1.Base-20.smt2,wopass-5555,1.54,unsat,ok
queries-ASN1.Base-20.smt2,wopass-6666,1.66,unsat,ok
queries-ASN1.Base-20.smt2,wopass-7777,1.6,unsat,ok
queries-ASN1.Base-20.smt2,wopass-8888,1.55,unsat,ok
queries-ASN1.Base-20.smt2,wopass-9999,1.64,unsat,ok
queries-ASN1.Base-21.smt2,wopass-1010,1.55,unsat,ok
queries-ASN1.Base-21.smt2,wopass-1111,1.63,unsat,ok
queries-ASN1.Base-21.smt2,wopass-2222,1.64,unsat,ok
queries-ASN1.Base-21.smt2,wopass-3333,1.58,unsat,ok
queries-ASN1.Base-21.smt2,wopass-4444,1.67,unsat,ok
queries-ASN1.Base-21.smt2,wopass-5555,1.57,unsat,ok
queries-ASN1.Base-21.smt2,wopass-6666,1.57,unsat,ok
queries-ASN1.Base-21.smt2,wopass-7777,1.68,unsat,ok
queries-ASN1.Base-21.smt2,wopass-8888,1.61,unsat,ok
queries-ASN1.Base-21.smt2,wopass-9999,1.54,unsat,ok
queries-ASN1.Base-22.smt2,wopass-1010,1.49,unsat,ok
queries-ASN1.Base-22.smt2,wopass-1111,1.4,unsat,ok
queries-ASN1.Base-22.smt2,wopass-2222,1.46,unsat,ok
queries-ASN1.Base-22.smt2,wopass-3333,1.53,unsat,ok
queries-ASN1.Base-22.smt2,wopass-4444,1.39,unsat,ok
queries-ASN1.Base-22.smt2,wopass-5555,1.52,unsat,ok
queries-ASN1.Base-22.smt2,wopass-6666,1.47,unsat,ok
queries-ASN1.Base-22.smt2,wopass-7777,1.39,unsat,ok
queries-ASN1.Base-22.smt2,wopass-8888,1.4,unsat,ok
queries-ASN1.Base-22.smt2,wopass-9999,1.4,unsat,ok
queries-ASN1.Base-23.smt2,wopass-1010,1.57,unsat,ok
queries-ASN1.Base-23.smt2,wopass-1111,1.54,unsat,ok
queries-ASN1.Base-23.smt2,wopass-2222,1.68,unsat,ok
queries-ASN1.Base-23.smt2,wopass-3333,1.6,unsat,ok
queries-ASN1.Base-23.smt2,wopass-4444,1.55,unsat,ok
queries-ASN1.Base-23.smt2,wopass-5555,1.51,unsat,ok
queries-ASN1.Base-23.smt2,wopass-6666,1.58,unsat,ok
queries-ASN1.Base-23.smt2,wopass-7777,1.53,unsat,ok
queries-ASN1.Base-23.smt2,wopass-8888,1.66,unsat,ok
queries-ASN1.Base-23.smt2,wopass-9999,1.56,unsat,ok
queries-ASN1.Base-24.smt2,wopass-1010,1.57,unsat,ok
queries-ASN1.Base-24.smt2,wopass-1111,,unknown,to
queries-ASN1.Base-24.smt2,wopass-2222,1.55,unsat,ok
queries-ASN1.Base-24.smt2,wopass-3333,1.54,unsat,ok
queries-ASN1.Base-24.smt2,wopass-4444,1.57,unsat,ok
queries-ASN1.Base-24.smt2,wopass-5555,1.53,unsat,ok
queries-ASN1.Base-24.smt2,wopass-6666,1.61,unsat,ok
queries-ASN1.Base-24.smt2,wopass-7777,1.51,unsat,ok
queries-ASN1.Base-24.smt2,wopass-8888,1.58,unsat,ok
queries-ASN1.Base-24.smt2,wopass-9999,1.62,unsat,ok
queries-ASN1.Base-25.smt2,wopass-1010,0.41,unsat,ok
queries-ASN1.Base-25.smt2,wopass-1111,0.42,unsat,ok
queries-ASN1.Base-25.smt2,wopass-2222,0.41,unsat,ok
queries-ASN1.Base-25.smt2,wopass-3333,0.42,unsat,ok
queries-ASN1.Base-25.smt2,wopass-4444,0.41,unsat,ok
queries-ASN1.Base-25.smt2,wopass-5555,0.4,unsat,ok
queries-ASN1.Base-25.smt2,wopass-6666,0.42,unsat,ok
queries-ASN1.Base-25.smt2,wopass-7777,0.42,unsat,ok
queries-ASN1.Base-25.smt2,wopass-8888,0.4,unsat,ok
queries-ASN1.Base-25.smt2,wopass-9999,0.42,unsat,ok
queries-ASN1.Base-26.smt2,wopass-1010,1.65,unsat,ok
queries-ASN1.Base-26.smt2,wopass-1111,1.55,unsat,ok
queries-ASN1.Base-26.smt2,wopass-2222,1.52,unsat,ok
queries-ASN1.Base-26.smt2,wopass-3333,1.56,unsat,ok
queries-ASN1.Base-26.smt2,wopass-4444,1.65,unsat,ok
queries-ASN1.Base-26.smt2,wopass-5555,1.6,unsat,ok
queries-ASN1.Base-26.smt2,wopass-6666,1.52,unsat,ok
queries-ASN1.Base-26.smt2,wopass-7777,1.63,unsat,ok
queries-ASN1.Base-26.smt2,wopass-8888,1.53,unsat,ok
queries-ASN1.Base-26.smt2,wopass-9999,1.58,unsat,ok
queries-ASN1.Base-27.smt2,wopass-1010,0.42,unsat,ok
queries-ASN1.Base-27.smt2,wopass-1111,0.41,unsat,ok
queries-ASN1.Base-27.smt2,wopass-2222,0.42,unsat,ok
queries-ASN1.Base-27.smt2,wopass-3333,0.41,unsat,ok
queries-ASN1.Base-27.smt2,wopass-4444,0.42,unsat,ok
queries-ASN1.Base-27.smt2,wopass-5555,0.42,unsat,ok
queries-ASN1.Base-27.smt2,wopass-6666,0.42,unsat,ok
queries-ASN1.Base-27.smt2,wopass-7777,0.42,unsat,ok
queries-ASN1.Base-27.smt2,wopass-8888,0.44,unsat,ok
queries-ASN1.Base-27.smt2,wopass-9999,0.4,unsat,ok
queries-ASN1.Base-28.smt2,wopass-1010,1.55,unsat,ok
queries-ASN1.Base-28.smt2,wopass-1111,1.62,unsat,ok
queries-ASN1.Base-28.smt2,wopass-2222,1.63,unsat,ok
queries-ASN1.Base-28.smt2,wopass-3333,1.71,unsat,ok
queries-ASN1.Base-28.smt2,wopass-4444,1.53,unsat,ok
queries-ASN1.Base-28.smt2,wopass-5555,1.51,unsat,ok
queries-ASN1.Base-28.smt2,wopass-6666,1.64,unsat,ok
queries-ASN1.Base-28.smt2,wopass-7777,1.61,unsat,ok
queries-ASN1.Base-28.smt2,wopass-8888,1.58,unsat,ok
queries-ASN1.Base-28.smt2,wopass-9999,1.59,unsat,ok
queries-ASN1.Base-29.smt2,wopass-1010,1.78,unsat,ok
queries-ASN1.Base-29.smt2,wopass-1111,1.78,unsat,ok
queries-ASN1.Base-29.smt2,wopass-2222,1.65,unsat,ok
queries-ASN1.Base-29.smt2,wopass-3333,1.74,unsat,ok
queries-ASN1.Base-29.smt2,wopass-4444,1.68,unsat,ok
queries-ASN1.Base-29.smt2,wopass-5555,1.74,unsat,ok
queries-ASN1.Base-29.smt2,wopass-6666,1.67,unsat,ok
queries-ASN1.Base-29.smt2,wopass-7777,1.69,unsat,ok
queries-ASN1.Base-29.smt2,wopass-8888,1.65,unsat,ok
queries-ASN1.Base-29.smt2,wopass-9999,1.65,unsat,ok
queries-ASN1.Base-3.smt2,wopass-1010,1.55,unsat,ok
queries-ASN1.Base-3.smt2,wopass-1111,1.56,unsat,ok
queries-ASN1.Base-3.smt2,wopass-2222,1.53,unsat,ok
queries-ASN1.Base-3.smt2,wopass-3333,1.71,unsat,ok
queries-ASN1.Base-3.smt2,wopass-4444,1.58,unsat,ok
queries-ASN1.Base-3.smt2,wopass-5555,1.61,unsat,ok
queries-ASN1.Base-3.smt2,wopass-6666,1.59,unsat,ok
queries-ASN1.Base-3.smt2,wopass-7777,1.48,unsat,ok
queries-ASN1.Base-3.smt2,wopass-8888,1.58,unsat,ok
queries-ASN1.Base-3.smt2,wopass-9999,1.63,unsat,ok
queries-ASN1.Base-30.smt2,wopass-1010,0.41,unsat,ok
queries-ASN1.Base-30.smt2,wopass-1111,0.42,unsat,ok
queries-ASN1.Base-30.smt2,wopass-2222,0.42,unsat,ok
queries-ASN1.Base-30.smt2,wopass-3333,0.41,unsat,ok
queries-ASN1.Base-30.smt2,wopass-4444,0.42,unsat,ok
queries-ASN1.Base-30.smt2,wopass-5555,0.41,unsat,ok
queries-ASN1.Base-30.smt2,wopass-6666,0.42,unsat,ok
queries-ASN1.Base-30.smt2,wopass-7777,0.41,unsat,ok
queries-ASN1.Base-30.smt2,wopass-8888,0.41,unsat,ok
queries-ASN1.Base-30.smt2,wopass-9999,0.4,unsat,ok
queries-ASN1.Base-31.smt2,wopass-1010,0.41,unsat,ok
queries-ASN1.Base-31.smt2,wopass-1111,0.41,unsat,ok
queries-ASN1.Base-31.smt2,wopass-2222,,unknown,to
queries-ASN1.Base-31.smt2,wopass-3333,0.4,unsat,ok
queries-ASN1.Base-31.smt2,wopass-4444,0.4,unsat,ok
queries-ASN1.Base-31.smt2,wopass-5555,0.42,unsat,ok
queries-ASN1.Base-31.smt2,wopass-6666,0.41,unsat,ok
queries-ASN1.Base-31.smt2,wopass-7777,0.43,unsat,ok
queries-ASN1.Base-31.smt2,wopass-8888,0.41,unsat,ok
queries-ASN1.Base-31.smt2,wopass-9999,0.4,unsat,ok
queries-ASN1.Base-32.smt2,wopass-1010,0.42,unsat,ok
queries-ASN1.Base-32.smt2,wopass-1111,0.41,unsat,ok
queries-ASN1.Base-32.smt2,wopass-2222,0.42,unsat,ok
queries-ASN1.Base-32.smt2,wopass-3333,0.41,unsat,ok
queries-ASN1.Base-32.smt2,wopass-4444,0.41,unsat,ok
queries-ASN1.Base-32.smt2,wopass-5555,0.42,unsat,ok
queries-ASN1.Base-32.smt2,wopass-6666,0.4,unsat,ok
queries-ASN1.Base-32.smt2,wopass-7777,0.41,unsat,ok
queries-ASN1.Base-32.smt2,wopass-8888,0.41,unsat,ok
queries-ASN1.Base-32.smt2,wopass-9999,0.41,unsat,ok
queries-ASN1.Base-33.smt2,wopass-1010,1.64,unsat,ok
queries-ASN1.Base-33.smt2,wopass-1111,1.71,unsat,ok
queries-ASN1.Base-33.smt2,wopass-2222,1.53,unsat,ok
queries-ASN1.Base-33.smt2,wopass-3333,1.51,unsat,ok
queries-ASN1.Base-33.smt2,wopass-4444,1.54,unsat,ok
