benchmark,config,norm_time,total_time,sha256sum,result,status
queries-ASN1.Base-1.smt2,wpass-1010,3.561,1.43,08aba7ea43a0203835a80948e4d36385a530f8807663a9e4c40830a0dbb6757c,unsat,ok
queries-ASN1.Base-1.smt2,wpass-1111,3.47,1.47,05dc048e2f55121bfcb2bdef0101ed7466f9395191b7d841b439d517b5a061b5,unsat,ok
queries-ASN1.Base-1.smt2,wpass-2222,3.809,1.5,9f437dde2d1c65eedf27faa28cdfc36cb29f2f15c50dee621456009ec0cadb77,unsat,ok
queries-ASN1.Base-1.smt2,wpass-3333,3.389,1.37,d429f9af4b58a9e3551d03d6c786c89af5d950072d271c72f631ad4aa318c606,unsat,ok
queries-ASN1.Base-1.smt2,wpass-4444,4.628,1.61,45c5472f51839bd567e7fe9692fa762b040767d644a1efbca56c68c30d44ee58,unsat,ok
queries-ASN1.Base-1.smt2,wpass-5555,5.206,1.92,6e35e6f9f1f631119a12e892b27479c5facf144f6cb70ddad00a2eedcb056194,unsat,ok
queries-ASN1.Base-1.smt2,wpass-6666,3.576,1.53,0fbe9eb8a93ba2c731d67aafe6a1815bde0b499f5fd5832925f0dd7b48931cd7,unsat,ok
queries-ASN1.Base-1.smt2,wpass-7777,4.137,1.64,5241592cb92f6c923c85b16f91cbb8251fc174d261ba8c6d24383277a3e25dea,unsat,ok
queries-ASN1.Base-1.smt2,wpass-8888,3.617,1.73,fdd465784e36dfed6dc83508458eae074aa6cfa7b08424c4bed6ece0d53dcf9b,unsat,ok
queries-ASN1.Base-1.smt2,wpass-9999,3.561,1.45,f690317245e5900c615e7d514aad8c3dc6a900e3db6b0820cfdfc8cb92d0bdf9,unsat,ok
queries-ASN1.Base-10.smt2,wpass-1010,3.739,1.45,1b295d0b8d98250bd8ecf5b156dcc496235c28badc55a8eb87f05136b9948c6f,unsat,ok
queries-ASN1.Base-10.smt2,wpass-1111,3.458,1.39,93aeb789ce272cd74391f28157402c6bc94b5541454947f805382b247b13e301,unsat,ok
queries-ASN1.Base-10.smt2,wpass-2222,3.479,1.5,3709c27e4a369f588fcbc6e09091de8a6b3cb6a6b7b05a4b4cbdaa72470d6bd5,unsat,ok
queries-ASN1.Base-10.smt2,wpass-3333,3.783,1.44,75a5d31f18b06d99843131ce12ecec59e404212904e6fe08dee156c438bbccf6,unsat,ok
queries-ASN1.Base-10.smt2,wpass-4444,4.404,1.67,b7850ca4b922ac9336b55a47f9bc31445f712a491fd04df7376eadc4ae8983cd,unsat,ok
queries-ASN1.Base-10.smt2,wpass-5555,3.688,1.61,c0fa38de91aaaab54df065fce6032eef43787ccc796a54c3dd0761baec810856,unsat,ok
queries-ASN1.Base-10.smt2,wpass-6666,5.238,1.55,a98cce3250c9f00fcd00c6d433bf0ba352e1c452d7169d3a6414f86fa674a1c3,unsat,ok
queries-ASN1.Base-10.smt2,wpass-7777,3.617,1.73,06451209ec4e4f8cf7f36e10ae19929148c3f584b4786e933784c12dcc2eadb7,unsat,ok
queries-ASN1.Base-10.smt2,wpass-8888,3.484,1.5,b2783046adf3a3fff89f6b9bbb8cb6c8006ffedd464de88b0e56d299feefd78e,unsat,ok
queries-ASN1.Base-10.smt2,wpass-9999,3.456,1.4,2b7b2d11940a5ac767c90094fa0282c9d9839b70ad81555f96a2543c1e715643,unsat,ok
queries-ASN1.Base-11.smt2,wpass-1010,4.73,1.54,4817df337d09d42c6c8e34d5f343b7c7f1ba9ccfa2927e22a6ba959a82a8d32c,unsat,ok
queries-ASN1.Base-11.smt2,wpass-1111,3.538,1.48,aa5cec06d2877411cadb00ed9bd5fa35ccb1edf0eae77b43e150ec9a1510b8a2,unsat,ok
queries-ASN1.Base-11.smt2,wpass-2222,3.925,1.68,cae631e1e50679e6dd983fbc79ec624ce6f242780d1b1538a58b73d7d9fc1c41,unsat,ok
queries-ASN1.Base-11.smt2,wpass-3333,4.282,1.5,32faee9777bb402546772d6649820a3f48bb02f74ecf0284a9739a69b570cc04,unsat,ok
queries-ASN1.Base-11.smt2,wpass-4444,5.294,1.66,039ce4b73e54b3e64a64cc7fcece58cfa86eecc086aaac10c7c9e17d3dffde3d,unsat,ok
