benchmark,config,avg_sim
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Betree.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.EmptyNode.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.GC.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Init.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.IsPathFromRootLookup.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.IsSatisfyingLookup.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.LookupRespectsDisk.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Next.smt2,,0.06
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.NextStep.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Acyclic.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Flush.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Grow.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InsertMessage.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InsertMessagePreservesLookupsPut.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpretLookupAdditive.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpretLookupAdditive3.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpsEqualOfAllBuffersEqual.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Inv.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.IsPathFromRootLookupImpliesReachable.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.KeyHasSatisfyingLookup.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.LookupIsAcyclic.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PathOfLookup.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PreservesLookups.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PreservesLookupsExcept.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PreservesLookupsPut.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PropagateInterperetation.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Query.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Redirect.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.RedirectOnlyPredOfChildIsParent.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.RedirectResultingGraph.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.RedirectResultingGraphAfterAllocs.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.SatisfyingLookupsForKeyAgree.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.SuccQuery.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.AcyclicGraphImpliesAcyclic.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.BetreeStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.CantEquivocate.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.CantEquivocateWlog.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.FlushPreservesAcyclic.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.FlushPreservesLookups.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.FlushStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesAcyclicity.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesIsPathFromRootLookup.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesLookups.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GrowPreservesAcyclic.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GrowPreservesLookups.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GrowStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InitImpliesInv.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InsertMessagePreservesAcyclicAndReachablePointersValid.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InsertMessagePreservesLookupsPut.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InsertMessageStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpretLookupAdditive.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpretLookupAdditive3.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpsEqualOfAllBuffersEqual.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.IsPathFromRootLookupImpliesReachable.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.NextPreservesInv.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.NextStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.PropagateInterperetation.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.QueryStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectOnlyPredOfChildIsParent.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectPreservesAcyclic.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectPreservesLookups.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectResultingGraph.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectResultingGraphAfterAllocs.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectStepPreservesInvariant.smt2,,0.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.SatisfyingLookupsForKeyAgree.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.GetPenultimateState.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.IsStatePath.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.ReachableReference.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.IsCycle.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.IsPathFromTo.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewPath.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewlyReachableReferences.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.ReachableReferences.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.Successors.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.UndoLocalEdit.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToBuffer.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToNode.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepOps.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepReads.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepUI.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BufferDefinesValue.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.FlushOps.smt2,,0.06
