benchmark,config,avg_sim
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Betree.smt2,,18.01
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.EmptyNode.smt2,,19.53
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.GC.smt2,,19.48
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Init.smt2,,18.23
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.IsPathFromRootLookup.smt2,,18.04
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.IsSatisfyingLookup.smt2,,17.88
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.LookupRespectsDisk.smt2,,17.39
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Next.smt2,,18.34
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.NextStep.smt2,,18.09
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Acyclic.smt2,,13.82
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Flush.smt2,,14.63
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Grow.smt2,,13.05
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InsertMessage.smt2,,13.76
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InsertMessagePreservesLookupsPut.smt2,,12.75
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpretLookupAdditive.smt2,,14.35
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpretLookupAdditive3.smt2,,12.69
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpsEqualOfAllBuffersEqual.smt2,,13.22
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Inv.smt2,,13.15
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.IsPathFromRootLookupImpliesReachable.smt2,,12.61
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.KeyHasSatisfyingLookup.smt2,,13.46
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.LookupIsAcyclic.smt2,,13.44
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PathOfLookup.smt2,,13.33
