benchmark,config,avg_sim
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Betree.smt2,,87.18
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.EmptyNode.smt2,,86.86
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.GC.smt2,,86.75
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Init.smt2,,87.01
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.IsPathFromRootLookup.smt2,,87.89
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.IsSatisfyingLookup.smt2,,86.67
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.LookupRespectsDisk.smt2,,87.34
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.Next.smt2,,87.75
d_fvbkv/Betree-Betree.i.dfy.CheckWellformed__Betree.__default.NextStep.smt2,,87.14
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Acyclic.smt2,,87.72
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Flush.smt2,,86.56
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Grow.smt2,,87.75
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InsertMessage.smt2,,87.04
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InsertMessagePreservesLookupsPut.smt2,,86.5
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpretLookupAdditive.smt2,,88.38
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpretLookupAdditive3.smt2,,87.73
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.InterpsEqualOfAllBuffersEqual.smt2,,87.42
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Inv.smt2,,87.68
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.IsPathFromRootLookupImpliesReachable.smt2,,86.49
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.KeyHasSatisfyingLookup.smt2,,86.82
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.LookupIsAcyclic.smt2,,88.18
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PathOfLookup.smt2,,87.24
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PreservesLookups.smt2,,87.49
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PreservesLookupsExcept.smt2,,87.14
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PreservesLookupsPut.smt2,,87.38
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.PropagateInterperetation.smt2,,87.12
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Query.smt2,,86.73
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.Redirect.smt2,,87.23
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.RedirectOnlyPredOfChildIsParent.smt2,,86.84
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.RedirectResultingGraph.smt2,,87.61
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.RedirectResultingGraphAfterAllocs.smt2,,87.79
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.SatisfyingLookupsForKeyAgree.smt2,,88.2
d_fvbkv/Betree-BetreeInv.i.dfy.CheckWellformed__BetreeInv.__default.SuccQuery.smt2,,87.75
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.AcyclicGraphImpliesAcyclic.smt2,,87.13
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.BetreeStepPreservesInvariant.smt2,,87.2
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.CantEquivocate.smt2,,86.5
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.CantEquivocateWlog.smt2,,86.63
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.FlushPreservesAcyclic.smt2,,86.28
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.FlushPreservesLookups.smt2,,86.81
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.FlushStepPreservesInvariant.smt2,,85.98
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesAcyclicity.smt2,,86.92
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesInvariant.smt2,,87.14
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesIsPathFromRootLookup.smt2,,85.96
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GCStepPreservesLookups.smt2,,85.95
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GrowPreservesAcyclic.smt2,,87.31
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GrowPreservesLookups.smt2,,87.23
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.GrowStepPreservesInvariant.smt2,,85.53
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InitImpliesInv.smt2,,86.61
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InsertMessagePreservesAcyclicAndReachablePointersValid.smt2,,85.78
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InsertMessagePreservesLookupsPut.smt2,,86.94
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InsertMessageStepPreservesInvariant.smt2,,86.32
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpretLookupAdditive.smt2,,85.88
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpretLookupAdditive3.smt2,,86.71
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpsEqualOfAllBuffersEqual.smt2,,85.98
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.IsPathFromRootLookupImpliesReachable.smt2,,86.34
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.NextPreservesInv.smt2,,86.06
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.NextStepPreservesInvariant.smt2,,87.44
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.PropagateInterperetation.smt2,,86.55
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.QueryStepPreservesInvariant.smt2,,87.77
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectOnlyPredOfChildIsParent.smt2,,86.92
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectPreservesAcyclic.smt2,,86.18
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectPreservesLookups.smt2,,86.86
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectResultingGraph.smt2,,87.69
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectResultingGraphAfterAllocs.smt2,,86.5
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectStepPreservesInvariant.smt2,,87.52
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.SatisfyingLookupsForKeyAgree.smt2,,86.05
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.GetPenultimateState.smt2,,85.72
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.IsStatePath.smt2,,85.14
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.ReachableReference.smt2,,84.65
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.IsCycle.smt2,,85.37
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.IsPathFromTo.smt2,,85.74
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewPath.smt2,,86.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewlyReachableReferences.smt2,,85.86
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.ReachableReferences.smt2,,86.41
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.Successors.smt2,,87.31
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.UndoLocalEdit.smt2,,86.41
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToBuffer.smt2,,86.87
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToNode.smt2,,85.07
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepOps.smt2,,86.8
