benchmark,config,total_time,result,status
1432.0.smt2,wopass-1010,0.02,unsat,ok
1432.0.smt2,wopass-1111,0.02,unsat,ok
1432.0.smt2,wopass-2222,0.02,unsat,ok
1432.0.smt2,wopass-3333,0.02,unsat,ok
1432.0.smt2,wopass-4444,0.02,unsat,ok
1432.0.smt2,wopass-5555,0.02,unsat,ok
1432.0.smt2,wopass-6666,0.02,unsat,ok
1432.0.smt2,wopass-7777,0.02,unsat,ok
1432.0.smt2,wopass-8888,0.02,unsat,ok
1432.0.smt2,wopass-9999,0.02,unsat,ok
1433.0.smt2,wopass-1010,0.02,unsat,ok
1433.0.smt2,wopass-1111,0.02,unsat,ok
1433.0.smt2,wopass-2222,0.02,unsat,ok
1433.0.smt2,wopass-3333,0.02,unsat,ok
1433.0.smt2,wopass-4444,0.02,unsat,ok
1433.0.smt2,wopass-5555,0.02,unsat,ok
1433.0.smt2,wopass-6666,0.02,unsat,ok
1433.0.smt2,wopass-7777,0.02,unsat,ok
1433.0.smt2,wopass-8888,0.02,unsat,ok
1433.0.smt2,wopass-9999,0.02,unsat,ok
1434.0.smt2,wopass-1010,0.18,unsat,ok
1434.0.smt2,wopass-1111,0.16,unsat,ok
1434.0.smt2,wopass-2222,0.16,unsat,ok
1434.0.smt2,wopass-3333,0.17,unsat,ok
1434.0.smt2,wopass-4444,0.17,unsat,ok
1434.0.smt2,wopass-5555,0.15,unsat,ok
1434.0.smt2,wopass-6666,0.15,unsat,ok
1434.0.smt2,wopass-7777,0.16,unsat,ok
1434.0.smt2,wopass-8888,0.16,unsat,ok
1434.0.smt2,wopass-9999,0.16,unsat,ok
1434.1.smt2,wopass-1010,0.02,unsat,ok
1434.1.smt2,wopass-1111,0.02,unsat,ok
1434.1.smt2,wopass-2222,0.02,unsat,ok
1434.1.smt2,wopass-3333,0.02,unsat,ok
1434.1.smt2,wopass-4444,0.02,unsat,ok
1434.1.smt2,wopass-5555,0.02,unsat,ok
1434.1.smt2,wopass-6666,0.02,unsat,ok
1434.1.smt2,wopass-7777,0.02,unsat,ok
1434.1.smt2,wopass-8888,0.02,unsat,ok
1434.1.smt2,wopass-9999,0.02,unsat,ok
1434.2.smt2,wopass-1010,0.02,unsat,ok
1434.2.smt2,wopass-1111,0.02,unsat,ok
1434.2.smt2,wopass-2222,0.02,unsat,ok
1434.2.smt2,wopass-3333,0.02,unsat,ok
