benchmark,config,norm_time,total_time,sha256sum,result,status
1432.0.smt2,wpass-1010,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-1111,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-2222,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-3333,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-4444,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-5555,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-6666,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-7777,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-8888,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1432.0.smt2,wpass-9999,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1433.0.smt2,wpass-1010,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1433.0.smt2,wpass-1111,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
1433.0.smt2,wpass-2222,0.0,0.02,d8390ba0faa21fec97466bc9f63cfddf8571582fdd43e75b114cda40106d37c5,unsat,ok
