benchmark,config,norm_time,total_time,sha256sum,result,status
common-queries-Common.AppendOptimizedList-1.smt2,wpass-1010,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-1111,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-2222,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-3333,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-4444,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-5555,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-6666,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-7777,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-8888,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-1.smt2,wpass-9999,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-1010,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-1111,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-2222,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-3333,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-4444,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-5555,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-6666,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-7777,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-8888,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-10.smt2,wpass-9999,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-11.smt2,wpass-1010,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-11.smt2,wpass-1111,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-11.smt2,wpass-2222,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-11.smt2,wpass-3333,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-11.smt2,wpass-4444,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
