benchmark,config,avg_sim
ABV/20190429-UltimateAutomizerSvcomp2019/alternating_list_true-unreach-call_true-valid-memsafety.i_1.smt2,,8.44
ABV/20190429-UltimateAutomizerSvcomp2019/alternating_list_true-unreach-call_true-valid-memsafety.i_10.smt2,,0.15
ABV/20190429-UltimateAutomizerSvcomp2019/alternating_list_true-unreach-call_true-valid-memsafety.i_9.smt2,,0.15
ABV/20190429-UltimateAutomizerSvcomp2019/cs_peterson_true-unreach-call.i_5.smt2,,0.28
ABV/20190429-UltimateAutomizerSvcomp2019/cs_szymanski_true-unreach-call.i_1.smt2,,1.94
ABV/20190429-UltimateAutomizerSvcomp2019/cs_szymanski_true-unreach-call.i_6.smt2,,0.28
ABV/20190429-UltimateAutomizerSvcomp2019/cs_time_var_mutex_true-unreach-call.i_3.smt2,,3.11
ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_1.smt2,,2.22
ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_10.smt2,,1.48
ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_11.smt2,,1.85
ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_13.smt2,,1.48
ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_3.smt2,,3.33
ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_7.smt2,,0.89
ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_8.smt2,,3.33
ABV/20190429-UltimateAutomizerSvcomp2019/dll-circular_false-unreach-call_false-valid-memcleanup.i_10.smt2,,5.78
ABV/20190429-UltimateAutomizerSvcomp2019/dll-rb-cnstr_1_false-unreach-call_false-valid-deref.i_14.smt2,,7.94
ABV/20190429-UltimateAutomizerSvcomp2019/dll-rb-cnstr_1_true-unreach-call_true-valid-memsafety.i_14.smt2,,2.22
ABV/20190429-UltimateAutomizerSvcomp2019/dll_of_dll_false-unreach-call_false-valid-memcleanup.i_11.smt2,,1.73
ABV/20190429-UltimateAutomizerSvcomp2019/dll_of_dll_false-unreach-call_false-valid-memcleanup.i_18.smt2,,2.22
ABV/20190429-UltimateAutomizerSvcomp2019/dll_of_dll_false-unreach-call_false-valid-memcleanup.i_6.smt2,,0.83
ABV/20190429-UltimateAutomizerSvcomp2019/dll_of_dll_false-unreach-call_false-valid-memcleanup.i_8.smt2,,1.98
ABV/20190429-UltimateAutomizerSvcomp2019/dll_of_dll_true-unreach-call_true-valid-memsafety.i_7.smt2,,5.08
ABV/20190429-UltimateAutomizerSvcomp2019/ex3_forlist_true-termination.c_true-unreach-call.i_2.smt2,,0.0
ABV/20190429-UltimateAutomizerSvcomp2019/list-ext_flag_false-unreach-call_false-valid-deref.i_8.smt2,,5.33
ABV/20190429-UltimateAutomizerSvcomp2019/list_and_tree_cnstr_false-unreach-call_false-termination.i_0.smt2,,0.0
ABV/20190429-UltimateAutomizerSvcomp2019/list_flag_true-unreach-call_false-valid-memtrack.i_2.smt2,,5.33
ABV/20190429-UltimateAutomizerSvcomp2019/list_flag_true-unreach-call_false-valid-memtrack.i_7.smt2,,3.11
ABV/20190429-UltimateAutomizerSvcomp2019/list_flag_true-unreach-call_false-valid-memtrack.i_8.smt2,,0.0
ABV/20190429-UltimateAutomizerSvcomp2019/list_flag_true-unreach-call_false-valid-memtrack.i_9.smt2,,1.67
ABV/20190429-UltimateAutomizerSvcomp2019/list_search_false-unreach-call_false-valid-memcleanup.i_1.smt2,,2.78
ABV/20190429-UltimateAutomizerSvcomp2019/list_search_true-unreach-call_false-valid-memcleanup.i_1.smt2,,5.66
ABV/20190429-UltimateAutomizerSvcomp2019/list_search_true-unreach-call_false-valid-memcleanup.i_3.smt2,,5.68
ABV/20190429-UltimateAutomizerSvcomp2019/list_search_true-unreach-call_false-valid-memcleanup.i_4.smt2,,5.43
ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_0.smt2,,5.72
ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_10.smt2,,6.03
ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_11.smt2,,6.03
ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_2.smt2,,4.13
ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_4.smt2,,6.3
ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_6.smt2,,6.35
ABV/20190429-UltimateAutomizerSvcomp2019/sll-sorted_false-unreach-call_false-valid-memcleanup.i_2.smt2,,1.33
ABV/20190429-UltimateAutomizerSvcomp2019/sll-sorted_false-unreach-call_false-valid-memcleanup.i_6.smt2,,0.44
ABV/20190429-UltimateAutomizerSvcomp2019/sll-sorted_false-unreach-call_false-valid-memcleanup.i_8.smt2,,0.0
ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_1.smt2,,6.22
ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_2.smt2,,4.0
ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_5.smt2,,2.22
ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_6.smt2,,2.22
ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_7.smt2,,1.33
ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_8.smt2,,1.78
ABV/20190429-UltimateAutomizerSvcomp2019/standard_running_true-unreach-call.i_12.smt2,,5.33
ABV/20190429-UltimateAutomizerSvcomp2019/standard_running_true-unreach-call.i_13.smt2,,4.44
ABV/20230321-UltimateAutomizerSvcomp2023/dll2c_insert_equal.i_37.smt2,,1.78
ABV/20230321-UltimateAutomizerSvcomp2023/dll2n_update_all.i_2.smt2,,4.0
ABV/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_0.smt2,,6.67
ABV/20230321-UltimateAutomizerSvcomp2023/dll_of_dll-2.i_39.smt2,,0.83
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_178.smt2,,0.74
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_18.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_236.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_242.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_429.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_574.smt2,,2.96
ABV/20230321-UltimateAutomizerSvcomp2023/hash_fun.i_4.smt2,,0.89
ABV/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_6.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_8.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/list-ext_1.i_11.smt2,,6.11
ABV/20230321-UltimateAutomizerSvcomp2023/list_and_tree_cnstr-1.i_26.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test13.i_18.smt2,,1.91
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test20-2.i_3.smt2,,6.67
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test7-2.i_4.smt2,,6.3
ABV/20230321-UltimateAutomizerSvcomp2023/sep10-2.i_2.smt2,,2.96
ABV/20230321-UltimateAutomizerSvcomp2023/sep20-1.i_0.smt2,,2.96
ABV/20230321-UltimateAutomizerSvcomp2023/simple_built_from_end.i_11.smt2,,4.89
ABV/20230321-UltimateAutomizerSvcomp2023/simple_built_from_end.i_8.smt2,,5.0
ABV/20230321-UltimateAutomizerSvcomp2023/simple_search_value-1.i_52.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/simple_search_value-2.i_46.smt2,,0.0
